provincie,postcode,plaats,Type,hoofdgemeente
West-Vlaanderen,8470,Snaaskerke,Deelgemeente,GISTEL
West-Vlaanderen,8470,Zevekote,Deelgemeente,GISTEL
West-Vlaanderen,8480,Bekegem,Deelgemeente,ICHTEGEM
West-Vlaanderen,8480,Eernegem,Deelgemeente,ICHTEGEM
West-Vlaanderen,8480,Ichtegem,Hoofdgemeente,ICHTEGEM
West-Vlaanderen,8490,Jabbeke,Hoofdgemeente,JABBEKE
West-Vlaanderen,8490,Snellegem,Deelgemeente,JABBEKE
West-Vlaanderen,8490,Stalhille,Deelgemeente,JABBEKE
West-Vlaanderen,8490,Varsenare,Deelgemeente,JABBEKE
West-Vlaanderen,8490,Zerkegem,Deelgemeente,JABBEKE
West-Vlaanderen,8500,Kortrijk,Hoofdgemeente,KORTRIJK
West-Vlaanderen,8501,Bissegem,Deelgemeente,KORTRIJK
West-Vlaanderen,8501,Heule,Deelgemeente,KORTRIJK
West-Vlaanderen,8510,Bellegem,Deelgemeente,KORTRIJK
West-Vlaanderen,8510,Kooigem,Deelgemeente,KORTRIJK
West-Vlaanderen,8510,Marke,Deelgemeente,KORTRIJK
West-Vlaanderen,8510,Rollegem,Deelgemeente,KORTRIJK
West-Vlaanderen,8511,Aalbeke,Deelgemeente,KORTRIJK
West-Vlaanderen,8520,Kuurne,Hoofdgemeente,KUURNE
West-Vlaanderen,8530,Harelbeke,Hoofdgemeente,HARELBEKE
West-Vlaanderen,8531,Bavikhove,Deelgemeente,HARELBEKE
West-Vlaanderen,8531,Hulste,Deelgemeente,HARELBEKE
West-Vlaanderen,8540,Deerlijk,Hoofdgemeente,DEERLIJK
West-Vlaanderen,8550,Zwevegem,Hoofdgemeente,ZWEVEGEM
West-Vlaanderen,8551,Heestert,Deelgemeente,ZWEVEGEM
West-Vlaanderen,8552,Moen,Deelgemeente,ZWEVEGEM
West-Vlaanderen,8553,Otegem,Deelgemeente,ZWEVEGEM
West-Vlaanderen,8554,Sint-Denijs,Deelgemeente,ZWEVEGEM
West-Vlaanderen,8560,Gullegem,Deelgemeente,WEVELGEM
West-Vlaanderen,8560,Moorsele,Deelgemeente,WEVELGEM
West-Vlaanderen,8560,Wevelgem,Hoofdgemeente,WEVELGEM
West-Vlaanderen,8570,Anzegem,Hoofdgemeente,ANZEGEM
West-Vlaanderen,8570,Gijzelbrechtegem,Deelgemeente,ANZEGEM
West-Vlaanderen,8570,Ingooigem,Deelgemeente,ANZEGEM
West-Vlaanderen,8570,Vichte,Deelgemeente,ANZEGEM
West-Vlaanderen,8572,Kaster,Deelgemeente,ANZEGEM
West-Vlaanderen,8573,Tiegem,Deelgemeente,ANZEGEM
West-Vlaanderen,8580,Avelgem,Hoofdgemeente,AVELGEM
West-Vlaanderen,8581,Kerkhove,Deelgemeente,AVELGEM
West-Vlaanderen,8581,Waarmaarde,Deelgemeente,AVELGEM
West-Vlaanderen,8582,Outrijve,Deelgemeente,AVELGEM
West-Vlaanderen,8583,Bossuit,Deelgemeente,AVELGEM
West-Vlaanderen,8587,Helkijn,Deelgemeente,SPIERE-HELKIJN
West-Vlaanderen,8587,Spiere,Deelgemeente,SPIERE-HELKIJN
West-Vlaanderen,8600,Beerst,Deelgemeente,DIKSMUIDE
West-Vlaanderen,8600,Diksmuide,Hoofdgemeente,DIKSMUIDE
West-Vlaanderen,8600,Driekapellen,Deelgemeente,DIKSMUIDE
West-Vlaanderen,8600,Esen,Deelgemeente,DIKSMUIDE
West-Vlaanderen,8600,Kaaskerke,Deelgemeente,DIKSMUIDE
West-Vlaanderen,8600,Keiem,Deelgemeente,DIKSMUIDE
West-Vlaanderen,8600,Lampernisse,Deelgemeente,DIKSMUIDE
West-Vlaanderen,8600,Leke,Deelgemeente,DIKSMUIDE
West-Vlaanderen,8600,Nieuwkapelle,Deelgemeente,DIKSMUIDE
West-Vlaanderen,8600,Oostkerke,Deelgemeente,DIKSMUIDE
West-Vlaanderen,8600,Oudekapelle,Deelgemeente,DIKSMUIDE
West-Vlaanderen,8600,Pervijze,Deelgemeente,DIKSMUIDE
West-Vlaanderen,8600,Sint-Jacobs-Kapelle,Deelgemeente,DIKSMUIDE
West-Vlaanderen,8600,Stuivekenskerke,Deelgemeente,DIKSMUIDE
West-Vlaanderen,8600,Vladslo,Deelgemeente,DIKSMUIDE
West-Vlaanderen,8600,Woumen,Deelgemeente,DIKSMUIDE
West-Vlaanderen,8610,Handzame,Deelgemeente,KORTEMARK
West-Vlaanderen,8610,Kortemark,Hoofdgemeente,KORTEMARK
West-Vlaanderen,8610,Werken,Deelgemeente,KORTEMARK
West-Vlaanderen,8610,Zarren,Deelgemeente,KORTEMARK
West-Vlaanderen,8620,Nieuwpoort,Hoofdgemeente,NIEUWPOORT
West-Vlaanderen,8620,Ramskapelle,Deelgemeente,NIEUWPOORT
West-Vlaanderen,8620,Sint-Joris,Deelgemeente,NIEUWPOORT
West-Vlaanderen,8630,Avekapelle,Deelgemeente,VEURNE
West-Vlaanderen,8630,Booitshoeke,Deelgemeente,VEURNE
West-Vlaanderen,8630,Bulskamp,Deelgemeente,VEURNE
West-Vlaanderen,8630,De Moeren,Deelgemeente,VEURNE
West-Vlaanderen,8630,Eggewaartskapelle,Deelgemeente,VEURNE
West-Vlaanderen,8630,Houtem,Deelgemeente,VEURNE
West-Vlaanderen,8630,Steenkerke,Deelgemeente,VEURNE
West-Vlaanderen,8630,Veurne,Hoofdgemeente,VEURNE
West-Vlaanderen,8630,Vinkem,Deelgemeente,VEURNE
West-Vlaanderen,8630,Wulveringem,Deelgemeente,VEURNE
West-Vlaanderen,8630,Zoutenaaie,Deelgemeente,VEURNE
West-Vlaanderen,8640,Oostvleteren,Deelgemeente,VLETEREN
West-Vlaanderen,8640,Westvleteren,Deelgemeente,VLETEREN
West-Vlaanderen,8640,Woesten,Deelgemeente,VLETEREN
West-Vlaanderen,8647,Lo,Deelgemeente,LO-RENINGE
West-Vlaanderen,8647,Noordschote,Deelgemeente,LO-RENINGE
West-Vlaanderen,8647,Pollinkhove,Deelgemeente,LO-RENINGE
West-Vlaanderen,8647,Reninge,Deelgemeente,LO-RENINGE
West-Vlaanderen,8650,Houthulst,Hoofdgemeente,HOUTHULST
West-Vlaanderen,8650,Klerken,Deelgemeente,HOUTHULST
West-Vlaanderen,8650,Merkem,Deelgemeente,HOUTHULST
West-Vlaanderen,8660,Adinkerke,Deelgemeente,DE PANNE
West-Vlaanderen,8660,De Panne,Hoofdgemeente,DE PANNE
West-Vlaanderen,8670,Koksijde,Hoofdgemeente,KOKSIJDE
West-Vlaanderen,8670,Oostduinkerke,Deelgemeente,KOKSIJDE
West-Vlaanderen,8670,Wulpen,Deelgemeente,KOKSIJDE
West-Vlaanderen,8680,Bovekerke,Deelgemeente,KOEKELARE
West-Vlaanderen,8680,Koekelare,Hoofdgemeente,KOEKELARE
West-Vlaanderen,8680,Zande,Deelgemeente,KOEKELARE
West-Vlaanderen,8690,Alveringem,Hoofdgemeente,ALVERINGEM
West-Vlaanderen,8690,Hoogstade,Deelgemeente,ALVERINGEM
West-Vlaanderen,8690,Oeren,Deelgemeente,ALVERINGEM
West-Vlaanderen,8690,Sint-Rijkers,Deelgemeente,ALVERINGEM
West-Vlaanderen,8691,Beveren-aan-de-IJzer,Deelgemeente,ALVERINGEM
West-Vlaanderen,8691,Gijverinkhove,Deelgemeente,ALVERINGEM
West-Vlaanderen,8691,Izenberge,Deelgemeente,ALVERINGEM
West-Vlaanderen,8691,Leisele,Deelgemeente,ALVERINGEM
West-Vlaanderen,8691,Stavele,Deelgemeente,ALVERINGEM
West-Vlaanderen,8700,Aarsele,Deelgemeente,TIELT
West-Vlaanderen,8700,Kanegem,Deelgemeente,TIELT
West-Vlaanderen,8700,Schuiferskapelle,Deelgemeente,TIELT
West-Vlaanderen,8700,Tielt,Hoofdgemeente,TIELT
West-Vlaanderen,8710,Ooigem,Deelgemeente,WIELSBEKE
West-Vlaanderen,8710,Sint-Baafs-Vijve,Deelgemeente,WIELSBEKE
West-Vlaanderen,8710,Wielsbeke,Hoofdgemeente,WIELSBEKE
West-Vlaanderen,8720,Dentergem,Hoofdgemeente,DENTERGEM
West-Vlaanderen,8720,Markegem,Deelgemeente,DENTERGEM
West-Vlaanderen,8720,Oeselgem,Deelgemeente,DENTERGEM
West-Vlaanderen,8720,Wakken,Deelgemeente,DENTERGEM
West-Vlaanderen,8730,Beernem,Hoofdgemeente,BEERNEM
West-Vlaanderen,8730,Oedelem,Deelgemeente,BEERNEM
West-Vlaanderen,8730,Sint-Joris,Deelgemeente,BEERNEM
West-Vlaanderen,8740,Egem,Deelgemeente,PITTEM
West-Vlaanderen,8740,Pittem,Hoofdgemeente,PITTEM
West-Vlaanderen,8750,Wingene,Hoofdgemeente,WINGENE
West-Vlaanderen,8750,Zwevezele,Deelgemeente,WINGENE
West-Vlaanderen,8755,Ruiselede,Deelgemeente,WINGENE
West-Vlaanderen,8760,Meulebeke,Deelgemeente,TIELT
West-Vlaanderen,8770,Ingelmunster,Hoofdgemeente,INGELMUNSTER
West-Vlaanderen,8780,Oostrozebeke,Hoofdgemeente,OOSTROZEBEKE
West-Vlaanderen,8790,Waregem,Hoofdgemeente,WAREGEM
West-Vlaanderen,8791,Beveren,Deelgemeente,WAREGEM
West-Vlaanderen,8792,Desselgem,Deelgemeente,WAREGEM
West-Vlaanderen,8793,Sint-Eloois-Vijve,Deelgemeente,WAREGEM
West-Vlaanderen,8800,Beveren,Deelgemeente,ROESELARE
West-Vlaanderen,8800,Oekene,Deelgemeente,ROESELARE
West-Vlaanderen,8800,Roeselare,Hoofdgemeente,ROESELARE
West-Vlaanderen,8800,Rumbeke,Deelgemeente,ROESELARE
West-Vlaanderen,8810,Lichtervelde,Hoofdgemeente,LICHTERVELDE
West-Vlaanderen,8820,Torhout,Hoofdgemeente,TORHOUT
West-Vlaanderen,8830,Gits,Deelgemeente,HOOGLEDE
West-Vlaanderen,8830,Hooglede,Hoofdgemeente,HOOGLEDE
West-Vlaanderen,8840,Oostnieuwkerke,Deelgemeente,STADEN
West-Vlaanderen,8840,Staden,Hoofdgemeente,STADEN
West-Vlaanderen,8840,Westrozebeke,Deelgemeente,STADEN
West-Vlaanderen,8850,Ardooie,Hoofdgemeente,ARDOOIE
West-Vlaanderen,8851,Koolskamp,Deelgemeente,ARDOOIE
West-Vlaanderen,8860,Lendelede,Hoofdgemeente,LENDELEDE
West-Vlaanderen,8870,Emelgem,Deelgemeente,IZEGEM
West-Vlaanderen,8870,Izegem,Hoofdgemeente,IZEGEM
West-Vlaanderen,8870,Kachtem,Deelgemeente,IZEGEM
West-Vlaanderen,8880,Ledegem,Hoofdgemeente,LEDEGEM
West-Vlaanderen,8880,Rollegem-Kapelle,Deelgemeente,LEDEGEM
West-Vlaanderen,8880,Sint-Eloois-Winkel,Deelgemeente,LEDEGEM
West-Vlaanderen,8890,Dadizele,Deelgemeente,MOORSLEDE
West-Vlaanderen,8890,Moorslede,Hoofdgemeente,MOORSLEDE
West-Vlaanderen,8900,Brielen,Deelgemeente,IEPER
West-Vlaanderen,8900,Dikkebus,Deelgemeente,IEPER
West-Vlaanderen,8900,Ieper,Hoofdgemeente,IEPER
West-Vlaanderen,8900,Sint-Jan,Deelgemeente,IEPER
West-Vlaanderen,8902,Hollebeke,Deelgemeente,IEPER
West-Vlaanderen,8902,Voormezele,Deelgemeente,IEPER
West-Vlaanderen,8902,Zillebeke,Deelgemeente,IEPER
West-Vlaanderen,8904,Boezinge,Deelgemeente,IEPER
West-Vlaanderen,8904,Zuidschote,Deelgemeente,IEPER
West-Vlaanderen,8906,Elverdinge,Deelgemeente,IEPER
West-Vlaanderen,8908,Vlamertinge,Deelgemeente,IEPER
West-Vlaanderen,8920,Bikschote,Deelgemeente,LANGEMARK-POELKAPELLE
West-Vlaanderen,8920,Langemark,Deelgemeente,LANGEMARK-POELKAPELLE
West-Vlaanderen,8920,Poelkapelle,Deelgemeente,LANGEMARK-POELKAPELLE
West-Vlaanderen,8930,Lauwe,Deelgemeente,MENEN
West-Vlaanderen,8930,Menen,Hoofdgemeente,MENEN
West-Vlaanderen,8930,Rekkem,Deelgemeente,MENEN
West-Vlaanderen,8940,Geluwe,Deelgemeente,WERVIK
West-Vlaanderen,8940,Wervik,Hoofdgemeente,WERVIK
West-Vlaanderen,8950,Nieuwkerke,Deelgemeente,HEUVELLAND
West-Vlaanderen,8951,Dranouter,Deelgemeente,HEUVELLAND
West-Vlaanderen,8952,Wulvergem,Deelgemeente,HEUVELLAND
West-Vlaanderen,8953,Wijtschate,Deelgemeente,HEUVELLAND
West-Vlaanderen,8954,Westouter,Deelgemeente,HEUVELLAND
West-Vlaanderen,8956,Kemmel,Deelgemeente,HEUVELLAND
West-Vlaanderen,8957,Mesen,Hoofdgemeente,MESEN
West-Vlaanderen,8958,Loker,Deelgemeente,HEUVELLAND
West-Vlaanderen,8970,Poperinge,Hoofdgemeente,POPERINGE
West-Vlaanderen,8970,Reningelst,Deelgemeente,POPERINGE
West-Vlaanderen,8972,Krombeke,Deelgemeente,POPERINGE
West-Vlaanderen,8972,Proven,Deelgemeente,POPERINGE
West-Vlaanderen,8972,Roesbrugge-Haringe,Deelgemeente,POPERINGE
West-Vlaanderen,8978,Watou,Deelgemeente,POPERINGE
West-Vlaanderen,8980,Beselare,Deelgemeente,ZONNEBEKE
West-Vlaanderen,8980,Geluveld,Deelgemeente,ZONNEBEKE
West-Vlaanderen,8980,Passendale,Deelgemeente,ZONNEBEKE
West-Vlaanderen,8980,Zandvoorde,Deelgemeente,ZONNEBEKE
West-Vlaanderen,8980,Zonnebeke,Hoofdgemeente,ZONNEBEKE
